method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
random,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3
novelty,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3
objective_only,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3
dms_prior_rerank,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3
editguard_guided,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,3
random,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4
novelty,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4
objective_only,32,1.0,0.992605662532637,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4
dms_prior_rerank,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4
editguard_guided,32,1.0,0.9926056625326372,0.9997824194952132,1.0,1.0,1.0,1,F7YBW8_MESOW_Aakre_2015,fragility_aware,1,4
random,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0
random,37,0.972972972972973,0.9794121798038251,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1
random,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2
random,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3
random,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4
novelty,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4
objective_only,37,0.972972972972973,0.9794121798038249,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4
dms_prior_rerank,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4
editguard_guided,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973,2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4
random,50,0.92,0.8966416449086161,0.997171453437772,1.94,1.0,0.92,3,F7YBW8_MESOW_Aakre_2015,novelty,2,0
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,0
objective_only,50,0.9,0.9086694952132289,0.9984769364664926,2.0,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,0
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,0
editguard_guided,50,1.0,0.9761792863359442,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,0
random,50,0.9,0.8966351174934727,0.9978241949521323,1.94,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,1
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,1
objective_only,50,0.9,0.9086694952132289,0.9984769364664926,2.0,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,1
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,1
editguard_guided,50,1.0,0.9761792863359442,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,1
random,50,0.86,0.8811248912097475,0.9973890339425587,1.96,1.0,0.86,3,F7YBW8_MESOW_Aakre_2015,novelty,2,2
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,2
objective_only,50,0.9,0.9086694952132289,0.9984769364664926,2.0,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,2
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,2
editguard_guided,50,1.0,0.9761792863359442,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,2
random,50,0.82,0.8529025239338556,0.9988033072236727,1.94,1.0,0.82,3,F7YBW8_MESOW_Aakre_2015,novelty,2,3
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,3
objective_only,50,0.9,0.9086694952132289,0.9984769364664926,2.0,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,3
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,3
editguard_guided,50,1.0,0.9761792863359442,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,3
random,50,0.82,0.843203872932985,0.9995648389904265,1.92,1.0,0.82,3,F7YBW8_MESOW_Aakre_2015,novelty,2,4
novelty,50,1.0,0.965263272410792,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,4
objective_only,50,0.9,0.9086694952132289,0.9984769364664926,2.0,1.0,0.9,3,F7YBW8_MESOW_Aakre_2015,novelty,2,4
dms_prior_rerank,50,1.0,0.9881157528285465,0.9997824194952132,1.36,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,4
editguard_guided,50,1.0,0.9761792863359442,0.9960835509138382,2.0,1.0,1.0,3,F7YBW8_MESOW_Aakre_2015,novelty,2,4
random,50,1.0,0.9749891209747608,0.9990208877284595,1.94,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0
novelty,50,1.0,0.9666427328111402,0.9960835509138382,2.0,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0
objective_only,50,1.0,0.9784595300261099,0.9984769364664926,1.96,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0
dms_prior_rerank,50,1.0,0.9823455178416013,0.9997824194952132,1.38,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0
editguard_guided,50,1.0,0.9823455178416013,0.9997824194952132,1.38,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0
random,50,1.0,0.9709029590948652,0.9998912097476066,1.92,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1
novelty,50,1.0,0.9666427328111402,0.9960835509138382,2.0,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1
objective_only,50,1.0,0.9784595300261099,0.9984769364664926,1.96,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1
dms_prior_rerank,50,1.0,0.9823455178416013,0.9997824194952132,1.38,1.0,1.0,4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1
